STATISTIC,Statistic,TLIST(A1),Year,Age Code,Age of Mother at Maternity,PLC Code,Previous Liveborn Children,UNIT,VALUE
VSA36C01,Total Births,2008,2008,16,16 years,26,Total Per Age Group,Number,170
VSA36C01,Total Births,2008,2008,16,16 years,1,0,Number,160
VSA36C01,Total Births,2008,2008,16,16 years,2,1,Number,9
VSA36C01,Total Births,2008,2008,16,16 years,3,2,Number,
VSA36C01,Total Births,2008,2008,16,16 years,4,3,Number,
VSA36C01,Total Births,2008,2008,16,16 years,5,4,Number,
VSA36C01,Total Births,2008,2008,16,16 years,6,5,Number,
VSA36C01,Total Births,2008,2008,16,16 years,8,6,Number,
VSA36C01,Total Births,2008,2008,16,16 years,10,7,Number,
VSA36C01,Total Births,2008,2008,16,16 years,11,8,Number,
VSA36C01,Total Births,2008,2008,16,16 years,12,9,Number,
VSA36C01,Total Births,2008,2008,16,16 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,16,16 years,99,Not stated,Number,1
VSA36C01,Total Births,2008,2008,17,17 years,26,Total Per Age Group,Number,378
VSA36C01,Total Births,2008,2008,17,17 years,1,0,Number,356
VSA36C01,Total Births,2008,2008,17,17 years,2,1,Number,21
VSA36C01,Total Births,2008,2008,17,17 years,3,2,Number,1
VSA36C01,Total Births,2008,2008,17,17 years,4,3,Number,
VSA36C01,Total Births,2008,2008,17,17 years,5,4,Number,
VSA36C01,Total Births,2008,2008,17,17 years,6,5,Number,
VSA36C01,Total Births,2008,2008,17,17 years,8,6,Number,
VSA36C01,Total Births,2008,2008,17,17 years,10,7,Number,
VSA36C01,Total Births,2008,2008,17,17 years,11,8,Number,
VSA36C01,Total Births,2008,2008,17,17 years,12,9,Number,
VSA36C01,Total Births,2008,2008,17,17 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,17,17 years,99,Not stated,Number,
VSA36C01,Total Births,2008,2008,18,18 years,26,Total Per Age Group,Number,698
VSA36C01,Total Births,2008,2008,18,18 years,1,0,Number,630
VSA36C01,Total Births,2008,2008,18,18 years,2,1,Number,61
VSA36C01,Total Births,2008,2008,18,18 years,3,2,Number,5
VSA36C01,Total Births,2008,2008,18,18 years,4,3,Number,
VSA36C01,Total Births,2008,2008,18,18 years,5,4,Number,
VSA36C01,Total Births,2008,2008,18,18 years,6,5,Number,
