STATISTIC,Statistic,TLIST(A1),Year,C03430V04137,NACE Sector,C02686V03253,Disability Type,UNIT,VALUE
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",-,Total disabilities,Number,1585
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",14,Blindness or a serious vision impairment,Number,110
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",15,Deafness or a serious hearing impairment,Number,165
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",16,An intellectual disability,Number,200
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",3,"Difficulty in learning, remembering or concentrating",Number,497
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",2,A condition that substantially limits one or more basic physical activities,Number,252
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",10,"Other disability, including chronic illness",Number,235
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",8,Psychological or emotional condition,Number,227
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",4,"Difficulty in dressing, bathing or getting around inside the home",Number,64
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",5,Difficulty in going outside home alone,Number,96
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",6,Difficulty in working or attending school/college,Number,345
APD05C01,People with a Disability,2019,2019,A,"Agriculture, Forestry and Fishing (A)",9,Difficulty in participating in other activities,Number,236
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),-,Total disabilities,Number,11245
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),14,Blindness or a serious vision impairment,Number,805
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),15,Deafness or a serious hearing impairment,Number,1510
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),16,An intellectual disability,Number,1655
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),3,"Difficulty in learning, remembering or concentrating",Number,2108
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),2,A condition that substantially limits one or more basic physical activities,Number,1739
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),10,"Other disability, including chronic illness",Number,1840
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),8,Psychological or emotional condition,Number,1841
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),4,"Difficulty in dressing, bathing or getting around inside the home",Number,608
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),5,Difficulty in going outside home alone,Number,675
APD05C01,People with a Disability,2019,2019,Y0900,Industry (B to E),6,Difficulty in working or attending school/college,Number,2120
