Statistic,Year,Area of Residence,Age Group of Mother,UNIT,VALUE
Births,2008,State,Under 20 years,Number,2402
Births,2008,State,20 - 24 years,Number,9283
Births,2008,State,25 - 29 years,Number,17876
Births,2008,State,30 - 34 years,Number,25431
Births,2008,State,35 - 39 years,Number,16913
Births,2008,State,40 - 44 years,Number,3077
Births,2008,State,45 years and over,Number,166
Births,2008,State,Age not stated,Number,25
Births,2008,State,All ages,Number,75173
Births,2008,Dublin City,Under 20 years,Number,389
Births,2008,Dublin City,20 - 24 years,Number,1158
Births,2008,Dublin City,25 - 29 years,Number,1895
Births,2008,Dublin City,30 - 34 years,Number,2228
Births,2008,Dublin City,35 - 39 years,Number,1655
Births,2008,Dublin City,40 - 44 years,Number,330
Births,2008,Dublin City,45 years and over,Number,15
Births,2008,Dublin City,Age not stated,Number,2
Births,2008,Dublin City,All ages,Number,7672
Births,2008,Fingal,Under 20 years,Number,142
Births,2008,Fingal,20 - 24 years,Number,586
Births,2008,Fingal,25 - 29 years,Number,1299
Births,2008,Fingal,30 - 34 years,Number,1953
Births,2008,Fingal,35 - 39 years,Number,1261
Births,2008,Fingal,40 - 44 years,Number,179
Births,2008,Fingal,45 years and over,Number,12
Births,2008,Fingal,Age not stated,Number,
Births,2008,Fingal,All ages,Number,5432
Births,2008,Balbriggan,Under 20 years,Number,
Births,2008,Balbriggan,20 - 24 years,Number,
Births,2008,Balbriggan,25 - 29 years,Number,
Births,2008,Balbriggan,30 - 34 years,Number,
Births,2008,Balbriggan,35 - 39 years,Number,
Births,2008,Balbriggan,40 - 44 years,Number,
Births,2008,Balbriggan,45 years and over,Number,
Births,2008,Balbriggan,Age not stated,Number,
Births,2008,Balbriggan,All ages,Number,
Births,2008,Dun Laoghaire Rathdown,Under 20 years,Number,47
Births,2008,Dun Laoghaire Rathdown,20 - 24 years,Number,186
Births,2008,Dun Laoghaire Rathdown,25 - 29 years,Number,381
Births,2008,Dun Laoghaire Rathdown,30 - 34 years,Number,1007
Births,2008,Dun Laoghaire Rathdown,35 - 39 years,Number,891
Births,2008,Dun Laoghaire Rathdown,40 - 44 years,Number,204
Births,2008,Dun Laoghaire Rathdown,45 years and over,Number,15
Births,2008,Dun Laoghaire Rathdown,Age not stated,Number,
Births,2008,Dun Laoghaire Rathdown,All ages,Number,2731
Births,2008,South Dublin,Under 20 years,Number,199
Births,2008,South Dublin,20 - 24 years,Number,755
Births,2008,South Dublin,25 - 29 years,Number,1226
Births,2008,South Dublin,30 - 34 years,Number,1490
Births,2008,South Dublin,35 - 39 years,Number,845
Births,2008,South Dublin,40 - 44 years,Number,146
Births,2008,South Dublin,45 years and over,Number,5
Births,2008,South Dublin,Age not stated,Number,
Births,2008,South Dublin,All ages,Number,4666
Births,2008,Leinster,Under 20 years,Number,1414
Births,2008,Leinster,20 - 24 years,Number,5422
Births,2008,Leinster,25 - 29 years,Number,10207
Births,2008,Leinster,30 - 34 years,Number,14104
Births,2008,Leinster,35 - 39 years,Number,9478
Births,2008,Leinster,40 - 44 years,Number,1710
Births,2008,Leinster,45 years and over,Number,91
Births,2008,Leinster,Age not stated,Number,10
Births,2008,Leinster,All ages,Number,42436
Births,2008,Wicklow,Under 20 years,Number,61
Births,2008,Wicklow,20 - 24 years,Number,277
Births,2008,Wicklow,25 - 29 years,Number,561
