Statistic,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Homicide offences,Number,7
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Murder,Number,4
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Manslaughter,Number,2
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,1
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Sexual offences,Number,174
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Rape and sexual assault,Number,154
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Other sexual offences,Number,20
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1072
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Murder-attempt,Number,2
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,1
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Harassment and related offences,Number,64
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,408
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Other assault,Number,597
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,742
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,2
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,699
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,9
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,7
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,6
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,3
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Endangering traffic offences,Number,16
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,16
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,False imprisonment,Number,12
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,4
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,586
