Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Total Births,2008,16 years,Previous liveborn children,Number,170
Total Births,2008,16 years,0,Number,160
Total Births,2008,16 years,1,Number,9
Total Births,2008,16 years,2,Number,
Total Births,2008,16 years,3,Number,
Total Births,2008,16 years,4,Number,
Total Births,2008,16 years,5,Number,
Total Births,2008,16 years,6,Number,
Total Births,2008,16 years,7,Number,
Total Births,2008,16 years,8,Number,
Total Births,2008,16 years,9,Number,
Total Births,2008,16 years,10 or more,Number,
Total Births,2008,16 years,Not stated,Number,1
Total Births,2008,17 years,Previous liveborn children,Number,378
Total Births,2008,17 years,0,Number,356
Total Births,2008,17 years,1,Number,21
Total Births,2008,17 years,2,Number,1
Total Births,2008,17 years,3,Number,
Total Births,2008,17 years,4,Number,
Total Births,2008,17 years,5,Number,
Total Births,2008,17 years,6,Number,
Total Births,2008,17 years,7,Number,
Total Births,2008,17 years,8,Number,
Total Births,2008,17 years,9,Number,
Total Births,2008,17 years,10 or more,Number,
Total Births,2008,17 years,Not stated,Number,
Total Births,2008,18 years,Previous liveborn children,Number,698
Total Births,2008,18 years,0,Number,630
Total Births,2008,18 years,1,Number,61
Total Births,2008,18 years,2,Number,5
Total Births,2008,18 years,3,Number,
Total Births,2008,18 years,4,Number,
Total Births,2008,18 years,5,Number,
Total Births,2008,18 years,6,Number,
Total Births,2008,18 years,7,Number,
Total Births,2008,18 years,8,Number,
Total Births,2008,18 years,9,Number,
Total Births,2008,18 years,10 or more,Number,
Total Births,2008,18 years,Not stated,Number,2
Total Births,2008,19 years,Previous liveborn children,Number,1112
Total Births,2008,19 years,0,Number,977
Total Births,2008,19 years,1,Number,119
Total Births,2008,19 years,2,Number,8
Total Births,2008,19 years,3,Number,3
Total Births,2008,19 years,4,Number,
Total Births,2008,19 years,5,Number,
Total Births,2008,19 years,6,Number,
Total Births,2008,19 years,7,Number,
Total Births,2008,19 years,8,Number,
Total Births,2008,19 years,9,Number,
Total Births,2008,19 years,10 or more,Number,
Total Births,2008,19 years,Not stated,Number,5
Total Births,2008,20 years,Previous liveborn children,Number,1357
Total Births,2008,20 years,0,Number,1081
Total Births,2008,20 years,1,Number,232
Total Births,2008,20 years,2,Number,36
Total Births,2008,20 years,3,Number,5
Total Births,2008,20 years,4,Number,
Total Births,2008,20 years,5,Number,
Total Births,2008,20 years,6,Number,
Total Births,2008,20 years,7,Number,
Total Births,2008,20 years,8,Number,
Total Births,2008,20 years,9,Number,
Total Births,2008,20 years,10 or more,Number,
Total Births,2008,20 years,Not stated,Number,3
Total Births,2008,21 years,Previous liveborn children,Number,1674
Total Births,2008,21 years,0,Number,1242
Total Births,2008,21 years,1,Number,345
Total Births,2008,21 years,2,Number,68
Total Births,2008,21 years,3,Number,11
Total Births,2008,21 years,4,Number,1
Total Births,2008,21 years,5,Number,
Total Births,2008,21 years,6,Number,
Total Births,2008,21 years,7,Number,
Total Births,2008,21 years,8,Number,
Total Births,2008,21 years,9,Number,
Total Births,2008,21 years,10 or more,Number,
Total Births,2008,21 years,Not stated,Number,7
Total Births,2008,22 years,Previous liveborn children,Number,1832
Total Births,2008,22 years,0,Number,1249
Total Births,2008,22 years,1,Number,419
Total Births,2008,22 years,2,Number,125
Total Births,2008,22 years,3,Number,27
Total Births,2008,22 years,4,Number,4
Total Births,2008,22 years,5,Number,2
Total Births,2008,22 years,6,Number,
Total Births,2008,22 years,7,Number,
Total Births,2008,22 years,8,Number,
Total Births,2008,22 years,9,Number,
Total Births,2008,22 years,10 or more,Number,
Total Births,2008,22 years,Not stated,Number,6
Total Births,2008,23 years,Previous liveborn children,Number,2075
Total Births,2008,23 years,0,Number,1250
Total Births,2008,23 years,1,Number,607
Total Births,2008,23 years,2,Number,168
Total Births,2008,23 years,3,Number,24
Total Births,2008,23 years,4,Number,8
Total Births,2008,23 years,5,Number,1
Total Births,2008,23 years,6,Number,1
Total Births,2008,23 years,7,Number,
Total Births,2008,23 years,8,Number,
Total Births,2008,23 years,9,Number,
Total Births,2008,23 years,10 or more,Number,
Total Births,2008,23 years,Not stated,Number,16
Total Births,2008,24 years,Previous liveborn children,Number,2345
Total Births,2008,24 years,0,Number,1319
Total Births,2008,24 years,1,Number,709
Total Births,2008,24 years,2,Number,228
Total Births,2008,24 years,3,Number,59
Total Births,2008,24 years,4,Number,14
Total Births,2008,24 years,5,Number,4
Total Births,2008,24 years,6,Number,1
Total Births,2008,24 years,7,Number,
Total Births,2008,24 years,8,Number,
Total Births,2008,24 years,9,Number,
Total Births,2008,24 years,10 or more,Number,
Total Births,2008,24 years,Not stated,Number,11
Total Births,2008,25 years,Previous liveborn children,Number,2671
Total Births,2008,25 years,0,Number,1445
Total Births,2008,25 years,1,Number,862
Total Births,2008,25 years,2,Number,249
Total Births,2008,25 years,3,Number,69
Total Births,2008,25 years,4,Number,27
Total Births,2008,25 years,5,Number,3
Total Births,2008,25 years,6,Number,
Total Births,2008,25 years,7,Number,1
Total Births,2008,25 years,8,Number,
Total Births,2008,25 years,9,Number,
Total Births,2008,25 years,10 or more,Number,
Total Births,2008,25 years,Not stated,Number,15
Total Births,2008,26 years,Previous liveborn children,Number,3152
Total Births,2008,26 years,0,Number,1653
Total Births,2008,26 years,1,Number,995
Total Births,2008,26 years,2,Number,343
Total Births,2008,26 years,3,Number,108
Total Births,2008,26 years,4,Number,29
Total Births,2008,26 years,5,Number,1
Total Births,2008,26 years,6,Number,4
Total Births,2008,26 years,7,Number,
Total Births,2008,26 years,8,Number,
Total Births,2008,26 years,9,Number,
Total Births,2008,26 years,10 or more,Number,
Total Births,2008,26 years,Not stated,Number,19
Total Births,2008,27 years,Previous liveborn children,Number,3555
Total Births,2008,27 years,0,Number,1791
Total Births,2008,27 years,1,Number,1079
Total Births,2008,27 years,2,Number,459
Total Births,2008,27 years,3,Number,138
Total Births,2008,27 years,4,Number,48
Total Births,2008,27 years,5,Number,17
Total Births,2008,27 years,6,Number,4
Total Births,2008,27 years,7,Number,
Total Births,2008,27 years,8,Number,
Total Births,2008,27 years,9,Number,
Total Births,2008,27 years,10 or more,Number,
Total Births,2008,27 years,Not stated,Number,19
Total Births,2008,28 years,Previous liveborn children,Number,4072
Total Births,2008,28 years,0,Number,1982
Total Births,2008,28 years,1,Number,1306
Total Births,2008,28 years,2,Number,471
Total Births,2008,28 years,3,Number,199
Total Births,2008,28 years,4,Number,68
Total Births,2008,28 years,5,Number,13
